cm,abs
3485.47411,0.26236
3484.75987,0.26268
3484.04564,0.26294
3483.3314,0.2632
3482.61716,0.26351
3481.90293,0.26388
3481.18869,0.26429
3480.47445,0.2647
3479.76022,0.26503
3479.04598,0.26526
3478.33174,0.2655
3477.61751,0.26581
3476.90327,0.26618
3476.18904,0.26652
3475.4748,0.26679
3474.76056,0.26703
3474.04633,0.26726
3473.33209,0.26742
3472.61785,0.26753
3471.90362,0.26777
3471.18938,0.26832
3470.47514,0.26918
3469.76091,0.27005
3469.04667,0.27063
3468.33243,0.27092
3467.6182,0.2711
3466.90396,0.27126
3466.18972,0.27134
3465.47549,0.27134
3464.76125,0.27136
3464.04701,0.27141
3463.33278,0.27147
3462.61854,0.27157
3461.90431,0.27178
3461.19007,0.27203
3460.47583,0.27227
3459.7616,0.27247
3459.04736,0.27266
3458.33312,0.27286
3457.61889,0.27305
3456.90465,0.2732
3456.19041,0.27332
3455.47618,0.2735
3454.76194,0.27375
3454.0477,0.27404
3453.33347,0.27433
3452.61923,0.27458
3451.90499,0.27478
3451.19076,0.27495
3450.47652,0.27513
3449.76228,0.27532
3449.04805,0.2755
3448.33381,0.27562
3447.61958,0.27568
3446.90534,0.27571
3446.1911,0.27577
3445.47687,0.27594
3444.76263,0.27623
3444.04839,0.2765
3443.33416,0.27665
3442.61992,0.2767
3441.90568,0.27674
3441.19145,0.27683
3440.47721,0.27697
3439.76297,0.27717
3439.04874,0.27743
3438.3345,0.27774
3437.62026,0.27809
3436.90603,0.27855
3436.19179,0.27916
3435.47755,0.27976
3434.76332,0.28008
3434.04908,0.27997
3433.33485,0.27961
3432.62061,0.27937
3431.90637,0.27938
3431.19214,0.27957
3430.4779,0.27973
3429.76366,0.27976
3429.04943,0.27968
3428.33519,0.2796
3427.62095,0.27957
3426.90672,0.27956
3426.19248,0.27957
3425.47824,0.27964
3424.76401,0.27976
3424.04977,0.27985
3423.33553,0.27989
3422.6213,0.27994
3421.90706,0.28002
3421.19282,0.28011
3420.47859,0.2802
3419.76435,0.28029
3419.05012,0.28037
3418.33588,0.28046
3417.62164,0.28063
3416.90741,0.28089
3416.19317,0.28109
3415.47893,0.28116
3414.7647,0.28117
3414.05046,0.28129
3413.33622,0.28152
3412.62199,0.28168
3411.90775,0.28165
3411.19351,0.28157
3410.47928,0.28164
3409.76504,0.28188
3409.0508,0.28211
3408.33657,0.28213
3407.62233,0.28196
3406.90809,0.28184
3406.19386,0.28191
3405.47962,0.28208
3404.76539,0.28219
3404.05115,0.28226
3403.33691,0.28246
3402.62268,0.28293
3401.90844,0.28353
3401.1942,0.284
3400.47997,0.28416
3399.76573,0.28396
3399.05149,0.28348
3398.33726,0.2829
3397.62302,0.28245
3396.90878,0.28226
3396.19455,0.28232
3395.48031,0.28248
3394.76607,0.28264
3394.05184,0.28282
3393.3376,0.28324
3392.62336,0.2839
3391.90913,0.28444
3391.19489,0.28445
3390.48066,0.28398
3389.76642,0.28344
3389.05218,0.28309
3388.33795,0.28292
3387.62371,0.28288
3386.90947,0.28287
3386.19524,0.28284
3385.481,0.28278
3384.76676,0.28272
3384.05253,0.28267
3383.33829,0.2826
3382.62405,0.28257
3381.90982,0.28269
3381.19558,0.28291
3380.48134,0.2831
3379.76711,0.28311
3379.05287,0.28302
3378.33863,0.28294
3377.6244,0.28299
3376.91016,0.28313
3376.19593,0.28325
3375.48169,0.28326
3374.76745,0.28317
3374.05322,0.28308
3373.33898,0.28308
3372.62474,0.28316
3371.91051,0.28334
3371.19627,0.28369
3370.48203,0.28423
3369.7678,0.28471
3369.05356,0.28484
3368.33932,0.2847
3367.62509,0.28453
3366.91085,0.28441
3366.19661,0.28425
3365.48238,0.28403
3364.76814,0.28383
3364.05391,0.28369
3363.33967,0.28358
3362.62543,0.28349
3361.9112,0.28346
3361.19696,0.28347
3360.48272,0.28347
3359.76849,0.28344
3359.05425,0.28345
3358.34001,0.28352
3357.62578,0.2836
3356.91154,0.28361
3356.1973,0.28353
3355.48307,0.28343
3354.76883,0.28336
3354.05459,0.28333
3353.34036,0.2834
3352.62612,0.28359
3351.91188,0.28389
3351.19765,0.28422
3350.48341,0.2844
3349.76918,0.28432
3349.05494,0.28406
3348.3407,0.28385
3347.62647,0.28375
3346.91223,0.28369
3346.19799,0.28362
3345.48376,0.2836
3344.76952,0.28371
3344.05528,0.28392
3343.34105,0.28413
3342.62681,0.28421
3341.91257,0.28411
3341.19834,0.28399
3340.4841,0.28405
3339.76986,0.2843
3339.05563,0.28452
3338.34139,0.28451
3337.62715,0.28429
3336.91292,0.28406
3336.19868,0.28391
3335.48445,0.28383
3334.77021,0.28376
3334.05597,0.28371
3333.34174,0.28372
3332.6275,0.28379
3331.91326,0.2839
3331.19903,0.284
3330.48479,0.28407
3329.77055,0.28406
3329.05632,0.28403
3328.34208,0.28404
3327.62784,0.28419
3326.91361,0.28442
3326.19937,0.2846
3325.48513,0.28461
3324.7709,0.28448
3324.05666,0.28434
3323.34242,0.28434
3322.62819,0.28447
3321.91395,0.28464
3321.19972,0.28478
3320.48548,0.28483
3319.77124,0.28478
3319.05701,0.28467
3318.34277,0.28461
3317.62853,0.28465
3316.9143,0.28479
3316.20006,0.28499
3315.48582,0.28518
3314.77159,0.2853
3314.05735,0.28538
3313.34311,0.28547
3312.62888,0.28556
3311.91464,0.28563
3311.2004,0.28576
3310.48617,0.28606
3309.77193,0.28646
3309.05769,0.28682
3308.34346,0.28711
3307.62922,0.28746
3306.91499,0.28791
3306.20075,0.28837
3305.48651,0.28868
3304.77228,0.28868
3304.05804,0.28829
3303.3438,0.2877
3302.62957,0.28728
3301.91533,0.28725
3301.20109,0.28745
3300.48686,0.28768
3299.77262,0.28784
3299.05838,0.28796
3298.34415,0.28806
3297.62991,0.28818
3296.91567,0.28838
3296.20144,0.28869
3295.4872,0.28902
3294.77296,0.28925
3294.05873,0.28939
3293.34449,0.28959
3292.63026,0.28994
3291.91602,0.29027
3291.20178,0.2904
3290.48755,0.29031
3289.77331,0.29018
3289.05907,0.29015
3288.34484,0.29024
3287.6306,0.29042
3286.91636,0.29068
3286.20213,0.29099
3285.48789,0.29133
3284.77365,0.29158
3284.05942,0.29169
3283.34518,0.29169
3282.63094,0.29172
3281.91671,0.29187
3281.20247,0.29212
3280.48823,0.29242
3279.774,0.29273
3279.05976,0.293
3278.34553,0.29322
3277.63129,0.29346
3276.91705,0.29376
3276.20282,0.29413
3275.48858,0.29448
3274.77434,0.29469
3274.06011,0.29477
3273.34587,0.29494
3272.63163,0.29534
3271.9174,0.29592
3271.20316,0.29642
3270.48892,0.29665
3269.77469,0.29664
3269.06045,0.29654
3268.34621,0.29647
3267.63198,0.29647
3266.91774,0.29654
3266.2035,0.2967
3265.48927,0.29699
3264.77503,0.29733
3264.0608,0.2976
3263.34656,0.29778
3262.63232,0.29797
3261.91809,0.29827
3261.20385,0.29859
3260.48961,0.29888
3259.77538,0.29914
3259.06114,0.29943
3258.3469,0.29973
3257.63267,0.30002
3256.91843,0.30031
3256.20419,0.30059
3255.48996,0.30081
3254.77572,0.30095
3254.06148,0.30104
3253.34725,0.30115
3252.63301,0.30135
3251.91877,0.30161
3251.20454,0.30185
3250.4903,0.30201
3249.77607,0.30214
3249.06183,0.30233
3248.34759,0.30262
3247.63336,0.30292
3246.91912,0.3031
3246.20488,0.30316
3245.49065,0.30323
3244.77641,0.30335
3244.06217,0.3035
3243.34794,0.30366
3242.6337,0.30384
3241.91946,0.30406
3241.20523,0.30424
3240.49099,0.30438
3239.77675,0.30451
3239.06252,0.30469
3238.34828,0.30488
3237.63404,0.30502
3236.91981,0.30513
3236.20557,0.30532
3235.49134,0.30567
3234.7771,0.30617
3234.06286,0.30666
3233.34863,0.30692
3232.63439,0.30687
3231.92015,0.3067
3231.20592,0.3066
3230.49168,0.30661
3229.77744,0.30668
3229.06321,0.30679
3228.34897,0.30691
3227.63473,0.30701
3226.9205,0.30711
3226.20626,0.30725
3225.49202,0.3074
3224.77779,0.30748
3224.06355,0.30746
3223.34931,0.30742
3222.63508,0.30743
3221.92084,0.30752
3221.20661,0.30764
3220.49237,0.3078
3219.77813,0.30803
3219.0639,0.30825
3218.34966,0.30838
3217.63542,0.30841
3216.92119,0.3084
3216.20695,0.30839
3215.49271,0.30841
3214.77848,0.30847
3214.06424,0.3086
3213.35,0.30878
3212.63577,0.30898
3211.92153,0.30914
3211.20729,0.30925
3210.49306,0.30934
3209.77882,0.30942
3209.06458,0.3095
3208.35035,0.30956
3207.63611,0.3096
3206.92188,0.30964
3206.20764,0.30969
3205.4934,0.30978
3204.77917,0.3099
3204.06493,0.31005
3203.35069,0.3102
3202.63646,0.31028
3201.92222,0.31031
3201.20798,0.31034
3200.49375,0.31043
3199.77951,0.31056
3199.06527,0.31069
3198.35104,0.3108
3197.6368,0.31085
3196.92256,0.31085
3196.20833,0.31083
3195.49409,0.31085
3194.77986,0.31085
3194.06562,0.31084
3193.35138,0.3109
3192.63715,0.31107
3191.92291,0.31122
3191.20867,0.31127
3190.49444,0.31126
3189.7802,0.31132
3189.06596,0.31145
3188.35173,0.31157
3187.63749,0.31161
3186.92325,0.31155
3186.20902,0.31149
3185.49478,0.31149
3184.78054,0.31156
3184.06631,0.31162
3183.35207,0.31161
3182.63783,0.31156
3181.9236,0.31153
3181.20936,0.31152
3180.49513,0.31154
3179.78089,0.31162
3179.06665,0.31172
3178.35242,0.3118
3177.63818,0.31181
3176.92394,0.31174
3176.20971,0.31166
3175.49547,0.31159
3174.78123,0.31151
3174.067,0.31141
3173.35276,0.31133
3172.63852,0.31132
3171.92429,0.31138
3171.21005,0.3114
3170.49581,0.31137
3169.78158,0.31131
3169.06734,0.31128
3168.3531,0.31127
3167.63887,0.31124
3166.92463,0.31119
3166.2104,0.31117
3165.49616,0.31122
3164.78192,0.31131
3164.06769,0.31137
3163.35345,0.31136
3162.63921,0.31134
3161.92498,0.31133
3161.21074,0.31133
3160.4965,0.3113
3159.78227,0.31121
3159.06803,0.31103
3158.35379,0.31083
3157.63956,0.31065
3156.92532,0.31052
3156.21108,0.31043
3155.49685,0.31039
3154.78261,0.31042
3154.06837,0.31055
3153.35414,0.31072
3152.6399,0.31077
3151.92567,0.31061
3151.21143,0.31028
3150.49719,0.30992
3149.78296,0.3096
3149.06872,0.30931
3148.35448,0.30905
3147.64025,0.30886
3146.92601,0.30877
3146.21177,0.30873
3145.49754,0.30867
3144.7833,0.30859
3144.06906,0.3086
3143.35483,0.30868
3142.64059,0.30876
3141.92635,0.30881
3141.21212,0.30888
3140.49788,0.30898
3139.78364,0.30899
3139.06941,0.30884
3138.35517,0.30858
3137.64094,0.30831
